qid,entity,gold_domains,aliases,is_pinned,category,language,difficulty,created_at,gold_verified_by,notes
od046,Brave,brave.com,Brave Search,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od047,MongoDB,mongodb.com,Mongo,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od048,Supabase,supabase.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od049,Vercel,vercel.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od050,Cloudflare,cloudflare.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od051,Datadog,datadoghq.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od052,Grafana,grafana.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od053,Parallel,parallel.ai,Parallel AI,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od054,BrightData,brightdata.com,Bright Data,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od055,AnySearch,anysearch.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od056,Google,google.com,谷歌,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od057,Microsoft,microsoft.com,微软,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od058,Apple,apple.com,苹果,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od059,Amazon,amazon.com|aws.amazon.com,AWS,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od060,NVIDIA,nvidia.com,英伟达,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od061,Tesla,tesla.com,特斯拉,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od062,Cloud Run,cloud.google.com,Google Cloud Run,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od063,AWS Fargate,aws.amazon.com,Fargate,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od064,Azure Container Apps,azure.microsoft.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od065,Qwen,qwen.ai|alibabacloud.com,通义千问,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od066,Hermès,hermes.com,爱马仕,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od067,小米,mi.com|xiaomi.com,Xiaomi,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od068,腾讯云,cloud.tencent.com|tencent.com,Tencent Cloud,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od069,阿里云,aliyun.com|alibabacloud.com,Alibaba Cloud,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od070,百度,baidu.com,Baidu,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od071,华为,huawei.com,Huawei,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od072,字节跳动,bytedance.com,ByteDance,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od073,阶跃星辰,stepfun.com,StepFun,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od074,百川,baichuan-ai.com,Baichuan,0,cjk_or_confusable,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),CJK stem
od075,BYD,byd.com,比亚迪,0,cjk_or_confusable,en,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od076,Mercury,,,0,cjk_or_confusable,en,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),ambiguous: planet vs bank; no single official domain -> gold none
od077,Cloud,,,0,cjk_or_confusable,en,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),"generic word, not an entity -> gold none"
od078,Cause,,,0,cjk_or_confusable,en,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),generic word -> gold none
