qid,query,reference_answer,must_include_facts,allowed_sources,time_sensitive,category,language,valid_from,official_price_url,difficulty,created_at,gold_verified_by
final034,Transformer 论文《Attention Is All You Need》发表于哪一年？第一作者是谁？,该论文于 2017 年发表（NeurIPS 2017），第一作者为 Ashish Vaswani。,2017 年；第一作者 Ashish Vaswani,arxiv.org|neurips.cc,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final035,Milvus 是什么类型的数据库？,Milvus 是开源的向量数据库，用于相似度检索与 AI 应用。,向量数据库；开源,milvus.io,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final036,香港科技大学位于香港哪个区？,香港科技大学位于香港新界西贡区清水湾。,西贡区清水湾（新界）,hkust.edu.hk,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final037,目前 Python 的最新稳定大版本是多少？,截至 2026-09 的最新稳定大版本为 Python 3.14（2025 年 10 月发布）；若答 3.13 需说明已非最新。,最新稳定版 3.14（截至 2026-09）,python.org,True,temporal,zh,2025-10-07,,medium,2026-09-09,claude-fable-5.1 (agent); verified against the official page on 2026-09-09 (docs.python.org shows 3.14.7; python.org lists 3.14 first released 2025-10-07)
final038,What is the current Long Term Support version of Ubuntu?,As of 2026-09 the newest LTS is Ubuntu 26.04 LTS (April 2026); 24.04 LTS remains supported.,newest LTS 26.04 (April 2026); 24.04 still supported,ubuntu.com,True,temporal,en,2026-04-23,,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final039,What is the latest major version of Node.js in the Active LTS line?,"As of 2026-09-09 nodejs.org lists Node.js 24 'Krypton' (LTS, first released 2025-05-06) and 22 'Jod' (LTS) as the supported LTS lines; 26 is Current.",Node.js 24 is an Active LTS line (as of 2026-09); 22 also LTS; 26 Current,nodejs.org,True,temporal,en,2025-10-28,,medium,2026-09-09,claude-fable-5.1 (agent); verified against the official page on 2026-09-09 (nodejs.org/zh-cn/about/previous-releases)
final040,Who is the current Secretary-General of the United Nations?,As of 2026-09 António Guterres is the UN Secretary-General; his second term ends 31 December 2026.,António Guterres (as of 2026-09); term ends end of 2026,un.org,True,temporal,en,2022-01-01,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final041,现在 Kubernetes 最新的次版本是哪个？,截至 2026-09-09，Kubernetes 最新次版本为 1.37（1.37.0 于 2026-08-26 发布），项目同时维护 1.37/1.36/1.35 三个发布分支。,最新次版本 1.37（截至 2026-09）；维护最近三个次版本,kubernetes.io,True,temporal,zh,2026-08-26,,medium,2026-09-09,claude-fable-5.1 (agent); verified against the official page on 2026-09-09 (kubernetes.io/zh-cn/releases/)
final042,What is the latest version of the Rust programming language stable release?,As of 2026-09 the stable channel is Rust 1.91 (released 2026-08-27); Rust releases every six weeks.,Rust 1.91 stable (as of 2026-09); six-week cadence,rust-lang.org,True,temporal,en,2026-08-27,,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final043,现在 Brave Search API 免费档每月多少次查询？,"截至 2026-09，Brave Search API Free 档每月 2,000 次查询，1 QPS。",每月 2000 次；1 QPS（截至 2026-09）,brave.com,True,temporal_pricing,zh,2024-01-01,https://brave.com/search/api/,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final044,When is the next total solar eclipse visible from mainland Spain?,The next total solar eclipse visible from mainland Spain is on 12 August 2026.,12 August 2026,nasa.gov|eclipse.gsfc.nasa.gov,True,temporal,en,2020-01-01,,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final045,2026 年国际男人节是几月几日？,国际男人节固定在每年 11 月 19 日，2026 年为 11 月 19 日（星期四）。,11 月 19 日,internationalmensday.com,True,temporal,zh,2026-01-01,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final046,What is the current version of the HTTP protocol most recently standardized by the IETF?,"HTTP/3 (RFC 9114, June 2022) is the most recent HTTP version standardized by the IETF.",HTTP/3; RFC 9114 (2022),ietf.org|rfc-editor.org,True,temporal,en,2022-06-06,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final047,Redis 和 Milvus 的主要区别是什么？,Redis 是内存键值数据库（也提供向量搜索模块），Milvus 是专用向量数据库；Milvus 针对大规模近似最近邻检索，Redis 面向低延迟缓存与数据结构。,Redis：内存键值/缓存；Milvus：专用向量数据库；两者定位差异,redis.io|milvus.io,False,comparison,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final048,PostgreSQL 和 MySQL 的默认端口分别是多少？,PostgreSQL 默认端口 5432，MySQL 默认端口 3306。,PostgreSQL 5432；MySQL 3306,postgresql.org|mysql.com,False,comparison,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final049,Compare the boiling points of water and ethanol at 1 atm.,"Water boils at 100 °C and ethanol at about 78.4 °C at 1 atm, so ethanol boils about 21.6 °C lower.",water 100 °C; ethanol ≈78.4 °C; ethanol lower,any,False,comparison,en,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final050,"Which is larger, Ganymede or Mercury, and by how much in diameter?","Ganymede (about 5,268 km) is larger than Mercury (about 4,879 km) by roughly 390 km in diameter, though Mercury is more massive.",Ganymede ≈5268 km > Mercury ≈4879 km; Mercury more massive,nasa.gov,False,comparison,en,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final051,Rust 和 Go 分别是哪一年首次公开发布的？,Go 于 2009 年 11 月公开发布，Rust 于 2010 年首次公开（1.0 稳定版为 2015 年 5 月）。,Go 2009 年；Rust 2010 年公开、2015 年 1.0,go.dev|rust-lang.org,False,comparison,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final052,Compare the population of Canada and Australia.,"Canada has about 41 million people (2025) and Australia about 27 million, so Canada is roughly 1.5 times as populous.",Canada ≈41 million; Australia ≈27 million; Canada larger,statcan.gc.ca|abs.gov.au,True,comparison,en,2025-01-01,,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final053,尼罗河和亚马逊河哪条更长？,通常尼罗河（约 6650 公里）被列为最长，但亚马逊河（约 6400–7000 公里）的测量存在争议；有依据的限定回答可接受。,通常尼罗河更长（≈6650 km）；亚马逊测量有争议,britannica.com,False,comparison,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final054,"Which has the higher tensile strength, steel or carbon fiber composite (typical values)?","Typical carbon-fiber composites reach about 3,500 MPa fibre tensile strength versus about 400–550 MPa for mild steel, so carbon fibre is far stronger by weight and in tension.",carbon fibre higher; steel ≈400–550 MPa; carbon fibre ≈3500 MPa (fibre),any,False,comparison,en,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final055,Mount Everest 和 K2 哪座更高？高多少？,珠穆朗玛峰 8848.86 米，乔戈里峰（K2）8611 米，珠峰高约 238 米。,珠峰 8848.86 m > K2 8611 m；差约 238 m,gov.cn|britannica.com,False,comparison,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final056,Compare the speed of light and the speed of sound in air.,"Light travels at 299,792,458 m/s in vacuum; sound in air at 20 °C travels at about 343 m/s, so light is roughly 870,000 times faster.",light 299792458 m/s; sound ≈343 m/s; ratio ≈ 870000,any,False,comparison,en,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final057,OpenAI GPT-5 API 的输入价格是每百万 token 多少美元？,截至 2026-09，GPT-5 输入 $1.25 / 1M tokens（输出 $10 / 1M）。,输入 $1.25/1M；输出 $10/1M（截至 2026-09）,openai.com,True,pricing,zh,2025-08-07,https://openai.com/api/pricing/,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final058,What does Anthropic charge per million input tokens for Claude Sonnet 5?,As of 2026-09 Claude Sonnet 5 is $3 per million input tokens and $15 per million output tokens.,$3/M input; $15/M output (as of 2026-09),anthropic.com,True,pricing,en,2026-05-01,https://www.anthropic.com/pricing,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final059,DeepSeek V4 Flash 的 API 输入价格是多少（每百万 token）？,截至 2026-09-09 官方价格页：deepseek-v4-flash 每百万 tokens 输入（缓存未命中）空闲时段 1.5 元、高峰时段 3.0 元；缓存命中 0.05/0.10 元；输出空闲 4.5 元、高峰 9.0 元。,输入（缓存未命中）1.5 元/百万 tokens（空闲）或 3.0 元（高峰）；输出 4.5 元（空闲）或 9.0 元（高峰）；区分空闲/高峰时段,deepseek.com,True,pricing,zh,2026-08-13,https://api-docs.deepseek.com/quick_start/pricing,medium,2026-09-09,claude-fable-5.1 (agent); verified against the official page on 2026-09-09 (api-docs.deepseek.com/zh-cn/quick_start/pricing)
final060,智谱 GLM-5.2 的 API 定价是多少？,截至 2026-09-09，智谱模型概览页列出 GLM-5.2（上下文 1M、最大输出 128K）；价格需从 bigmodel.cn/pricing（JS 渲染）核对。,GLM-5.2 上下文 1M；最大输出 128K；价格以 bigmodel.cn/pricing 为准,bigmodel.cn,True,pricing,zh,2026-07-01,https://bigmodel.cn/pricing,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate); context/output verified on docs.bigmodel.cn model overview
final061,How much does Tavily charge per API credit on the pay-as-you-go plan?,"As of 2026-09 Tavily pay-as-you-go is $0.008 per API credit; a basic search costs 1 credit, an advanced search 2 credits.",$0.008 per credit; basic search 1 credit; advanced 2 credits (as of 2026-09),tavily.com,True,pricing,en,2025-01-01,https://tavily.com/#pricing,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
final062,Firecrawl 的 Hobby 套餐每月多少美元、包含多少 credits？,"截至 2026-09，Firecrawl Hobby 套餐 $16/月（年付）或 $19/月（月付），含 3,000 credits/月。",Hobby $16–19/月；3000 credits/月（截至 2026-09）,firecrawl.dev,True,pricing,zh,2025-06-01,https://www.firecrawl.dev/pricing,medium,2026-09-09,claude-fable-5.1 (agent; UNVERIFIED time-sensitive gold — confirm against the official page before use as a hard gate)
