qid,query,gold_doc_id,gold_span,is_absent,language,difficulty,created_at,gold_verified_by,notes
lc025,Aetherian Dynamics 有多少员工？上一财年营收多少？,aetherian_dynamics_brief_en.pdf,"The company employs 1,240 people across three sites and reported revenue of 312 million sereleian crowns",0,zh->en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言 PDF
lc026,What is Skyweave II and how strong are its early prototypes?,aetherian_dynamics_brief_en.pdf,"The Sydra laboratory is developing Skyweave II, which replaces the basalt layer with a recycled glass layer || Early prototypes reach 1,600 megapascals",0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span PDF
lc027,How are Sereleian Grand Council representatives selected and how long do they serve?,fictional_knowledge_base_en.md,"they are selected through a process of civic lottery || Representatives serve a single four-year term and cannot serve again",0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span
lc028,Where is Aetherian Dynamics headquartered according to the knowledge base?,fictional_knowledge_base_en.md,Headquartered in the independent city-state of Meridian,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),与 PDF 的 Althaven 冲突是故意的：两份虚构文档
lc029,失败分析报告里被测查询耗时多少秒、迭代了几轮？,failure_analysis_zh.md,耗时 232 秒、8 轮迭代,0,zh,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc030,失败分析认为分析层把什么当成了对比成员？,failure_analysis_zh.md,分析层把指令句拆成了对比成员,0,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc031,路线图 M5 退出时还有多少份 active spec？,agentic_loop_roadmap_zh.md,M5 退出时共有 19 份 active spec,0,zh,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc032,Which tools are on the ISE tool surface according to the architecture diagram?,architecture_overview_zh.md,"T1[""web_search""] || T3[""fetch_url""] || T4[""local_docs""]",0,en->zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言 + 多 span（mermaid 节点）
lc033,Sereleia 的机场叫什么名字？从都柏林飞过去要多久？,sereleia_visitor_faq_en.txt,The only international airport is Althaven Vestera Airport on the main island of Vestera || the Dublin flight takes about two hours and forty minutes,0,zh->en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言 + 多 span
lc034,What is the workplace exposure limit for Skyweave dust?,skyweave_handling_guide_en.txt,The workplace exposure limit is 1 milligram per cubic metre averaged over eight hours,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),brief 也有同句；gold 指向 handling guide
lc035,语料里 Sereleia 的现任总统是谁？,,,1,zh,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),无总统职位；应说明未提及
lc036,What is the Wi-Fi password of the Althaven General Hospital?,,,1,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),不存在
lc037,ISE 运维手册里 Redis 的默认端口是多少？,,,1,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),手册未提 Redis；应说明未提及
lc038,Which version of Skyweave was certified for service above 200 degrees Celsius?,,,1,en,hard,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),前提错误：认证上限 140 °C；应说明未提及/前提不成立
