qid,query,gold_doc_id,gold_span,is_absent,language,difficulty,created_at,gold_verified_by,notes
le014,审计开关的解析优先级是什么？默认关闭时 CLI 侧用哪个 tracer？,spec_process-audit-log.md,CLI `--audit off|file` 单次覆盖 > `config.json` 的 `audit.enabled` > 默认关闭 || 编排器 SHALL 使用 `NullWorkflowTracer`（CLI 侧）,0,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),多 span
le015,服务器日志写入 JSONL 之前会对什么内容脱敏？,guide_server_logging_zh.md,类凭据字段与 URL query string 在写入 JSONL 前会被脱敏,0,zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le016,"In the durable server log configuration, what does a value of 0 for max_files mean?",guide_server_logging_zh.md,值为 `0` 表示关闭审计记录大小与文件数量上限,0,en->zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
le017,runtime/server/ 目录下会落盘哪些文件？,guide_server_logging_zh.md,`server.log` / `stdout.log` / `stderr.log` || `requests/<request-id>.jsonl`：每个 answer 请求的完整事件流,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),多 span；同一 chunk 内
le018,人工标注的双标抽样比例和 kappa 阈值是多少？,guide_quality_annotation_zh.md,随机抽 20%（每批至少 8 题）由第二人独立标注，产出后用 `python -m tests.quality.agreement` 算 kappa；kappa < 0.6 的维度在报告里只报人工分,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),两个数字在同一句
le019,Which objects does utils/query_orchestration.py own as the shared contract boundary?,query_execution_paths_en.md,"It owns `QueryAnalysis`, `EvidenceLedger`, the sole `evaluate_termination` critic",0,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le020,为什么视觉输入处理没有并入工具循环？,query_execution_paths_en.md,The bounded visual handler remains separate because the loop has no image tool,0,zh->en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；原因型
le021,文档之间冲突时，架构方向和能力契约各以什么为准？,docs_index_zh.md,架构方向以 `agentic_loop_roadmap.md` 为准，能力契约以 `../openspec/specs/` 为准,0,zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le022,怎样在 devbench 里选择四题版任务套件？,devbench_usage_zh.md,四题版在 `batch register` 或单题 `prepare` 时加 `--suite suites/ise-v1-expanded.yaml`,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),devbench 多份文档都提到 suite，gold 限定 usage
le023,P0 阶段对计费调用和真实模型试跑的决定是什么？,devbench_p0_decisions_zh.md,本期由 benchmark 发起的计费调用为 0，不安排真实模型试跑,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le024,三障碍解除设计里授权的签发和消费分别在哪里发生？,devbench_isolation_launcher_zh.md,授权**签发**仍只在操作者终端；**消费**移到常驻 launcher,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le025,后台执行器的 worker 凭据隔离为什么没有达成？,devbench_background_executor_zh.md,本机用户级 systemd 不支持 mount namespace，unit 中的凭据不可达指令在本机不生效，worker 的凭据隔离仍未达成,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),原因型；isolation_launcher 也讨论凭据隔离，是干扰文档
le026,本地 RAG 参数扫描里当前默认 1000/200 排第几？,baseline_zh.md,默认 1000/200 在 k=3 与 k=5 下都排 **24 / 29**,0,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),design/plan 文档也谈 1000/200 默认值，是强干扰
le027,Which chunk sizes and overlaps does the local RAG grid sweep cover?,quality_evaluation_design_zh.md,"chunk_size ∈ {300, 500, 800, 1000, 1500} × overlap ∈ {0, 50, 100, 150, 200, 300}",0,en->zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；plan/baseline 也提网格，是干扰
le028,How many distinct entity stems must a host be a B-tier candidate for before it is flagged as a suspected aggregator?,spec_aggregator-auto-detection.md,`aggregator_min_stems` (default 5),0,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),数字事实
le029,"Which node may enter the compact node in the ReAct graph, and does compaction count as an iteration?",spec_react-agent.md,`compact` 节点 SHALL 只能由 `evaluate` 进入并且只能回到 `act`，SHALL NOT 递增 `iteration`,0,en->zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
le030,Does the runtime expose registry skills through a unified domain router?,spec_react-tool-wrapper.md,the runtime SHALL NOT provide a unified domain router,0,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),是非题
le031,Which endpoint does the Firecrawl Scrape adapter call by default?,spec_direct-reference-retrieval.md,默认调用 `https://api.firecrawl.dev/v2/scrape`,0,en->zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；URL 事实
le032,EvidenceSource 接口至少覆盖哪三类来源？,spec_evidence-source-layer.md,至少覆盖 `web`、`domain`、`local` 三类来源,0,zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le033,What happens to SerpAPI in the web search source catalog?,spec_web-search-provider-routing.md,The system SHALL remove SerpAPI from the configurable and user-visible general web search source catalog,0,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le034,检索工具的调用预算和全局迭代上限分别由什么控制？,spec_unified-rag-execution.md,"Every retrieval tool SHALL enforce its own `max_calls_per_query` budget, while `termination.max_iterations` remains the global loop ceiling",0,zh->en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
le035,Brave Search 的月配额具体是多少次请求？,,,1,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),规范只说要记录月配额消耗，没有给出数字；实体存在字段缺失
le036,What TCP port does the Flask server listen on according to the durable server logs guide?,,,1,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),指南没有端口信息；实体存在字段缺失
le037,loop-cancellation 规范里等待工具调用结束的超时时间是多少秒？,,,1,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),规范说等待自然结束或超时，但没有秒数
le038,Which cloud database service hosts the ReAct checkpointer for conversation resume?,,,1,en,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),前提错误：checkpointer 是本地 SQLite
le039,上下文压缩的 tier-3 采用什么策略？,,,1,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),前提错误：只有 tier-1 / tier-2
le040,Which GPU model does the devbench isolation launcher require?,,,1,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),完全不相关字段
le041,ask_user 工具默认的调用预算是几次？,,,1,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),规范说受独立预算约束，但没有具体次数
le042,What Slack webhook receives audit-log alerts?,,,1,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),主题不存在
le043,devbench 的 T07 任务开发内容是什么？,,,1,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),前提错误：任务只到 T06
le044,How many dollars does a secondary Brave key cost per month?,,,1,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),价格不在语料中
le045,文档索引里列出的维护者邮箱是什么？,,,1,zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),主题不存在
le046,Which Python version does the official-domain-resolution spec require?,,,1,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),规范不涉及 Python 版本
