qid,query,category,language,gold_intent_shape,gold_members,gold_member_aliases,gold_entities,gold_claim_classes,gold_critical_ambiguity,gold_existence_query,gold_time_scope,gold_temporal_fanout,gold_requires_evidence,difficulty,created_at,gold_verified_by,notes
qa023,现在北京天气怎么样,temporal,zh,information_request,,,北京,current,0,0,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),“现在”是当前态，不是多年历史；不应扇出年份
qa024,最近三年 AI 芯片出货量的变化趋势,temporal,zh,information_request,,,,temporal|historical,0,0,historical,1,1,medium,2026-09-09,claude-fable-5.1 (agent),真正需要多年覆盖
qa025,2020 到 2024 年比特币价格走势,temporal,zh,information_request,,,比特币,numeric|pricing|temporal|historical,0,0,historical,1,1,medium,2026-09-09,claude-fable-5.1 (agent),显式年份区间
qa026,What is the latest version of Python?,temporal,en,information_request,,,Python,current,0,0,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa027,OpenAI 是哪一年成立的,temporal,zh,information_request,,,OpenAI,,0,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),“哪一年”是历史事实问句，不是最近一年时间窗
qa028,今天纳斯达克收盘多少点,temporal,zh,information_request,,,纳斯达克,current|numeric,0,0,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa029,过去一周 GitHub Copilot 有哪些更新,temporal,zh,information_request,,,GitHub Copilot,temporal,0,0,window,0,1,medium,2026-09-09,claude-fable-5.1 (agent),一周窗口
qa030,Bitcoin price history from 2017 through 2021,temporal,en,information_request,,,Bitcoin,numeric|pricing|temporal|historical,0,0,historical,1,1,medium,2026-09-09,claude-fable-5.1 (agent),
qa031,目前 DeepSeek 最新模型的定价是多少,temporal,zh,information_request,,,DeepSeek,current|numeric|pricing,0,0,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),“目前”当前态
qa032,近五年上海常住人口变化,temporal,zh,information_request,,,上海,temporal|historical,0,0,historical,1,1,medium,2026-09-09,claude-fable-5.1 (agent),
qa033,What changed in React 19 compared with React 18?,temporal,en,comparison,React 19|React 18,,React 19|React 18,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),版本对比，不是时间窗
qa034,现在有哪些 VS Code 插件支持 Copilot,temporal,zh,information_request,,,VS Code|Copilot,current,0,1,recent,0,1,medium,2026-09-09,claude-fable-5.1 (agent),存在性枚举问句：不应扇出年份、不是对比
qa035,昨天英超有哪些比赛结果,temporal,zh,information_request,,,英超,current,0,1,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa036,Is Kubernetes 1.31 still supported today?,temporal,en,information_request,,,Kubernetes 1.31,current,0,0,recent,0,1,medium,2026-09-09,claude-fable-5.1 (agent),
qa037,最近一个月 Firecrawl 的价格有没有调整,temporal,zh,information_request,,,Firecrawl,numeric|pricing|temporal,0,0,window,0,1,medium,2026-09-09,claude-fable-5.1 (agent),一个月窗口
qa038,历年诺贝尔物理学奖得主名单,temporal,zh,information_request,,,诺贝尔物理学奖,historical,0,0,historical,1,1,medium,2026-09-09,claude-fable-5.1 (agent),“历年”需要多年覆盖
qa039,当前 Brave Search API 每月免费配额是多少,temporal,zh,information_request,,,Brave Search API,current|numeric|pricing,0,0,recent,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa040,它的价格是多少,ambiguous,zh,information_request,,,,numeric|pricing,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),无实体的指代
qa041,这个模型支持多模态吗,ambiguous,zh,information_request,,,,,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa042,帮我对比一下,ambiguous,zh,comparison,,,,comparison,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),对比成员缺失
qa043,Which one is cheaper?,ambiguous,en,comparison,,,,comparison|numeric|pricing,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa044,那个 API 的速率限制是多少,ambiguous,zh,information_request,,,,numeric,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa045,How does it compare to the previous version?,ambiguous,en,comparison,,,,comparison,1,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),
qa046,把前者换成后者会更快吗,ambiguous,zh,information_request,,,,,1,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),
qa047,GLM-5.2 的价格和它的上下文长度,ambiguous,zh,information_request,,,GLM-5.2,numeric|pricing,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“它”指向已点名实体：非关键歧义
qa048,Apple 苹果 是水果还是公司？,ambiguous,zh,information_request,,,Apple,,0,0,none,0,0,medium,2026-09-09,claude-fable-5.1 (agent),词义歧义但问题本身可答，不应阻断
qa049,Compare these two,ambiguous,en,comparison,,,,comparison,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa050,它们哪个更便宜,ambiguous,zh,comparison,,,,comparison|numeric|pricing,1,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa051,你是谁,chat_local,zh,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),闲聊
qa052,给我一句鼓励的话,chat_local,zh,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),闲聊
qa053,用一句话解释什么是 RAG,chat_local,zh,information_request,,,RAG,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),概念解释，无需证据
qa054,How are you doing today?,chat_local,en,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),闲聊；today 不是时间约束
qa055,Tell me a joke,chat_local,en,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),
qa056,这个项目的核心模块有哪些,chat_local,zh,information_request,,,,,0,1,none,0,0,medium,2026-09-09,claude-fable-5.1 (agent),本地文档问句；“这个项目”指上传文档而非未解析实体
qa057,文档里对 rerank 的作用是怎么描述的？,chat_local,zh,information_request,,,,,0,0,none,0,0,medium,2026-09-09,claude-fable-5.1 (agent),本地
qa058,我上传的文件里有没有提到 XXX,chat_local,zh,information_request,,,,,0,1,none,0,0,medium,2026-09-09,claude-fable-5.1 (agent),本地存在性
qa059,Summarize the uploaded PDF in three bullet points,chat_local,en,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),本地
qa060,Write a Python function to reverse a string,chat_local,en,information_request,,,Python,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),代码请求，无需检索
qa061,Convert 10 miles to kilometers,chat_local,en,information_request,,,,numeric,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),计算类；数值但不需要网页证据
qa062,Translate “good morning” to Spanish,chat_local,en,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),
qa063,文档中对本地 RAG 的 chunk size 和 overlap 是怎么设置的？,chat_local,zh,information_request,,,,numeric,0,0,none,0,0,medium,2026-09-09,claude-fable-5.1 (agent),本地
qa064,What is photosynthesis?,chat_local,en,information_request,,,,,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),常识问句
qa065,Calculate 5 factorial,chat_local,en,information_request,,,,numeric,0,0,none,0,0,easy,2026-09-09,claude-fable-5.1 (agent),计算类；无需网页证据
