qid,query,gold_doc_url,gold_span,authority_required,valid_from,relevance_notes,category,language,difficulty,created_at,gold_verified_by
wzh012,Vue 选项式 API 用什么选项声明响应式状态？,https://cn.vuejs.org/guide/essentials/reactivity-fundamentals.html,选用选项式 API 时，会用 data 选项来声明组件的响应式状态,0,,响应式基础,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh013,Vue 文档为什么推荐用计算属性而不是在模板里写逻辑？,https://cn.vuejs.org/guide/essentials/computed.html,如果在模板中写太多逻辑，会让模板变得臃肿，难以维护,0,,计算属性页,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh014,React 组件名必须以大写字母开头吗？,https://zh-hans.react.dev/learn,React 组件必须以大写字母开头，而 HTML 标签则必须是小写字母,0,,快速入门,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh015,React 的 useState 是做什么的？,https://zh-hans.react.dev/reference/react/useState,useState 是一个 React Hook，它允许你向组件添加一个 状态变量,0,,API 参考,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh016,HTTP 404 状态码表示什么？,https://developer.mozilla.org/zh-CN/docs/Web/HTTP/Reference/Status/404,404 Not Found 指的是服务器无法找到所请求的资源,0,,MDN 社区翻译（非厂商官方）,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh017,资源永久丢失时应该返回 404 还是 410？,https://developer.mozilla.org/zh-CN/docs/Web/HTTP/Reference/Status/404,如果服务器知道该资源是永久丢失，那么应该返回 410 （Gone）而不是 404,0,,MDN,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh018,JavaScript 的 Array.prototype.map() 返回什么？,https://developer.mozilla.org/zh-CN/docs/Web/JavaScript/Reference/Global_Objects/Array/map,这个新数组由原数组中的每个元素都调用一次提供的函数后的返回值组成,0,,MDN,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh019,HTTP 301 对 POST 请求为什么建议改用 308？,https://developer.mozilla.org/zh-CN/docs/Web/HTTP/Reference/Status/301,对于 POST 则改用 308 Permanent Redirect ，因为此状态码会禁止更改请求方法,0,,MDN,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh020,FastAPI 里没有声明为路径参数的参数会被当成什么？,https://fastapi.tiangolo.com/zh/tutorial/query-params/,声明的参数不是路径参数时，路径操作函数会把该参数自动解释为“查询”参数,0,,FastAPI 中文教程,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh021,Django 最初是为什么类型的站点设计的？,https://docs.djangoproject.com/zh-hans/5.2/intro/overview/,Django 最初被设计用于具有快速开发需求的新闻类站点,0,,Django 官方中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh022,Flask 官方文档为什么建议不要把程序文件命名为 flask.py？,https://flask.palletsprojects.com/zh-cn/stable/quickstart/,不要将程序文件命名为 flask.py ，因为这会与 Flask 本身冲突,0,,Flask 快速入门,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh023,Vite 这个名字是什么意思？,https://cn.vitejs.dev/guide/,"Vite（法语意为 ""快速的""，发音 /viːt/",0,,Vite 官方中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh024,Vite 的构建指令用什么打包器？,https://cn.vitejs.dev/guide/,它使用 Rolldown 打包你的代码,0,2026-01-01,Vite 官方中文,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh025,webpack 的默认入口文件是什么？,https://webpack.docschina.org/concepts/,默认值是 ./src/index.js,0,,webpack 中文文档（社区维护）,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh026,webpack 从哪个版本开始可以不用配置文件打包？,https://webpack.docschina.org/concepts/,从 v4.0.0 开始， webpack 可以不用再引入一个配置文件 来打包项目,0,,webpack 中文文档,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh027,TypeScript 和 JavaScript 是什么关系？,https://www.typescriptlang.org/zh/docs/handbook/typescript-in-5-minutes.html,TypeScript 提供了 JavaScript 的所有功能，并在这些功能之上添加了一层： TypeScript 的类型系统,0,,官方手册中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh028,Electron 是用什么技术构建桌面应用的框架？,https://www.electronjs.org/zh/docs/latest/,Electron是一个使用 JavaScript、HTML 和 CSS 构建桌面应用程序的框架,0,,官方中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh029,GitHub 和 Git 是什么关系？,https://docs.github.com/zh/get-started/start-your-journey/about-github-and-git,GitHub 基于开源软件 Git。 Git 是一个版本控制系统，用于跟踪对文件的更改,0,,GitHub Docs 中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh030,Rust 官方推荐的入门书叫什么？,https://www.rust-lang.org/zh-CN/learn,《Rust 程序设计语言》 被亲切地称为“圣经”,0,,rust-lang.org 中文,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh031,Debian 稳定版的生命周期是多久？,https://www.debian.org/releases/index.zh-cn.html,Debian 稳定版本的生命周期为五年：首先是三年的完整支持，然后是两年的长期支持（LTS）,0,,Debian 发行版本页,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh032,当前 Debian 稳定版的版本号和代号是什么？,https://www.debian.org/releases/index.zh-cn.html,当前 Debian 的 稳定版 版本号是 13，开发代号为 trixie,0,2025-08-09,时效,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh033,Node.js 偶数版本发布多久后进入 LTS？,https://nodejs.org/zh-cn/about/previous-releases,6 个月后，奇数版本（9、11 等）将变为 不受支持 状态，偶数版本（10、12 等）将进入 活跃的LTS 状态,0,,Node.js 发布策略,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh034,Node.js LTS 版本会维护多长时间？,https://nodejs.org/zh-cn/about/previous-releases,在接下来的 30 个月内，关键错误将被及时修复,0,,Node.js 发布策略,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh035,微信支付 JSAPI 支付支持哪些主体类型？,https://pay.weixin.qq.com/doc/v3/merchant/4012062524,个体工商户、 企业、事业单位、政府机关、社会组织,1,,微信支付商户文档准入条件,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh036,微信支付 JSAPI 支付要求什么类型的公众号？,https://pay.weixin.qq.com/doc/v3/merchant/4012062524,已认证的 服务号、已认证的政府或媒体类型的公众号,1,,准入条件,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh037,Kubernetes 1.19 及更新版本能获得多长时间的补丁支持？,https://kubernetes.io/zh-cn/releases/,Kubernetes 1.19 和更新版本获得 大约 1 年的补丁支持,0,,发行版本页,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh038,香港科技大学是哪一年成立的？,https://hkust.edu.hk/zh-hant/about,香港科技大學於 1991年應運而生,1,,官网关于页（繁体）,policy_faq,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh039,Python 3.14 是什么时候首次发布的？,https://www.python.org/downloads/,3.14 bugfix Download 2025-10-07,1,2025-10-07,python.org 下载页发布表,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh040,DeepSeek V4 Flash 每百万 tokens 输入（缓存未命中）在空闲时段多少钱？,https://api-docs.deepseek.com/zh-cn/quick_start/pricing,百万tokens输入 （缓存未命中） 空闲时段 1.5元,1,2026-08-13,官方价格页；高峰时段 3.0 元,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh041,DeepSeek API 的高峰时段是怎么定义的？,https://api-docs.deepseek.com/zh-cn/quick_start/pricing,高峰时段为北京时间周一至周五 9:00 - 12:00、14:00 - 18:00（其余为空闲时段）,1,,官方价格页,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh042,DeepSeek V4 Flash 的上下文长度是多少？,https://api-docs.deepseek.com/zh-cn/quick_start/pricing,上下文长度 1M 输出长度 最大 384K,1,2026-08-13,官方价格页模型细节,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh043,Kimi API 的文件抽取接口收费吗？,https://platform.moonshot.cn/docs/pricing/chat,文件相关接口（文件内容抽取/文件存储）接口 限时免费,1,,Kimi 开放平台价格说明,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh044,Kimi API 里 1 个 Token 大约相当于多少个汉字？,https://platform.moonshot.cn/docs/pricing/chat,1 个 Token 大约相当于 1.5-2 个汉字,1,,计费概念,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh045,智谱 GLM-5.2 的上下文和最大输出是多少？,https://docs.bigmodel.cn/cn/guide/start/model-overview,GLM-5.2 支撑复杂长程任务稳定执行 Coding 能力大幅提升，从代码生成走向工程交付 1M 128K,1,2026-07-01,模型概览页（价格在 JS 页面，无法直抓）,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh046,阿里云 ECS 单实例可用性承诺是多少？,https://help.aliyun.com/zh/ecs/product-overview/what-is-ecs,单实例可用性达 99.975%，多可用区多实例可用性达 99.995%,1,,SLA 数字,pricing,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh047,阿里云 ECS 提供哪些计费方式？,https://help.aliyun.com/zh/ecs/product-overview/what-is-ecs,提供了按量付费、包年包月、抢占式实例等多种计费方式,1,,计费方式,pricing,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh048,Cloud Run 是什么？,https://cloud.google.com/run/docs/overview/what-is-cloud-run?hl=zh-cn,Cloud Run 是一个全托管式应用平台，可让您在 Google 高度可伸缩的基础设施之上运行代码、函数或容器,1,,Cloud Run 与 Azure Container Apps / Fargate 对比题的官方定义,comparison,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh049,Azure 容器应用是什么？,https://learn.microsoft.com/zh-cn/azure/container-apps/overview,Azure 容器应用是一个无服务器平台，用于在不管理底层基础结构的情况下运行容器化应用程序,1,,官方定义,comparison,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh050,AWS Fargate 支持哪两种容器服务？,https://aws.amazon.com/cn/fargate/faqs/,works with both Amazon Elastic Container Service (ECS) and Amazon Elastic Kubernetes Service (EKS),1,,中文站 FAQ 正文为英文,comparison,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh051,Cloud Run 上代码可以以哪三种方式运行？,https://cloud.google.com/run/docs/overview/what-is-cloud-run?hl=zh-cn,服务、作业和工作器池：运行代码的三种方式,1,,对比题细节,comparison,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh052,Azure 容器应用可以根据哪些特征自动缩放？,https://learn.microsoft.com/zh-cn/azure/container-apps/overview,HTTP 流量 事件驱动的处理 CPU 或内存负载 任何 支持 KEDA 的缩放器,1,,对比题细节,comparison,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh053,Docker 官方对 Docker 的定义是什么？,https://docs.docker.com/get-started/docker-overview/,"Docker is an open platform for developing, shipping, and running applications",1,,英文官方页；中文问,comparison,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh054,PostgreSQL 当前受支持的主版本有哪些？,https://www.postgresql.org/docs/current/index.html,Supported Versions: Current 18 17 16 15 14,1,2026-08-13,版本对比,comparison,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
